id_ponto,latitude_wgs84,longitude_wgs84,indice_final,motivo_veto,nota_vento,nota_dist_rede,nota_declive,nota_uso_solo,nota_conservacao,vento_bruto_ms,radiacao_solar_bruta,declive_bruto_graus,solo_bruto_codigo,restricao_dados_json,dist_urbana_bruto_km,dist_rede_bruto_km,pct_intersecao_urbana
1264,-5.4701406034363655,-36.57480802539384,8.49,Aprovado,8.981481481481483,8.062000000000001,7.826666666666666,8.0,10.0,6.79,5.97,3.26,21,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.61,29.07,0.0
550,-4.975401678945153,-37.342965648363695,8.49,Aprovado,9.37830687830688,9.028666666666666,7.84,6.0,10.0,7.09,5.99,3.24,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.64,14.57,0.0
689,-5.743622510783202,-37.20547713518098,8.49,Aprovado,8.320105820105821,8.210666666666667,6.053333333333333,10.0,10.0,6.29,6.02,5.92,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",11.13,26.84,0.0
2024,-6.322872621030951,-35.53270684910414,8.48,Aprovado,9.113756613756614,6.457999999999999,7.24,10.0,10.0,6.89,5.57,4.14,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",3.99,53.13,0.0
2025,-6.368020291367377,-35.53240464377281,8.48,Aprovado,9.113756613756614,6.3806666666666665,7.373333333333334,10.0,10.0,6.89,5.57,3.94,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.99,54.29,0.0
476,-4.892518754118884,-37.43191925864322,8.48,Aprovado,9.37830687830688,8.922,8.026666666666667,6.0,10.0,7.09,5.99,2.96,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.48,16.17,0.0
1052,-5.335413584324227,-36.80080198208199,8.48,Aprovado,8.981481481481483,9.638,7.766666666666666,6.0,10.0,6.79,5.97,3.35,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",2.18,5.43,0.87
954,-6.375534379668922,-36.93227083261183,8.46,Aprovado,9.007936507936508,7.030000000000001,6.04,10.0,10.0,6.81,5.85,5.94,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",8.76,44.55,0.0
1868,-6.324330176169495,-35.758351701053435,8.46,Aprovado,9.113756613756614,8.07,2.9333333333333336,10.0,10.0,6.89,5.57,10.6,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",4.04,28.95,0.0
1015,-5.425974118950939,-36.84557899015515,8.46,Aprovado,8.981481481481483,9.616666666666667,7.673333333333333,6.0,10.0,6.79,5.97,3.49,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.73,5.75,0.0
1917,-5.691592879544046,-35.671932876488725,8.45,Aprovado,9.761904761904763,8.367333333333333,7.513333333333333,6.0,10.0,7.38,5.8,3.73,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.97,24.49,0.0
915,-6.511321051909786,-36.97691599539143,8.45,Aprovado,9.007936507936508,6.958,6.046666666666667,10.0,10.0,6.81,5.85,5.93,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",8.07,45.63,0.0
2026,-6.413167868556744,-35.532100243974206,8.44,Aprovado,9.113756613756614,6.275333333333332,7.26,10.0,10.0,6.89,5.57,4.11,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.37,55.87,0.0
2190,-6.140457244310719,-35.26328477749437,8.44,Aprovado,10.0,7.989999999999999,7.446666666666665,6.0,10.0,7.56,5.57,3.83,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.03,30.15,0.0
477,-4.930406235291975,-37.433241290677294,8.43,Aprovado,9.37830687830688,8.809333333333333,7.773333333333333,6.0,10.0,7.09,5.99,3.34,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",3.15,17.86,0.01
374,-5.789972655638335,-37.61163942657231,8.43,Aprovado,7.843915343915344,9.048,5.26,10.0,10.0,5.93,6.02,7.11,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",5.03,14.28,0.0
1988,-6.097421447621904,-35.57929054341039,8.43,Aprovado,9.2989417989418,7.468666666666667,7.426666666666667,8.0,10.0,7.03,5.57,3.86,21,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",3.11,37.97,0.0
763,-5.291254367173891,-37.11663309716784,8.43,Aprovado,8.981481481481483,9.856666666666667,6.719999999999999,6.0,10.0,6.79,6.02,4.92,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",14.15,2.15,0.0
2086,-6.3674055580474445,-35.44215403328298,8.43,Aprovado,9.113756613756614,6.244666666666667,7.199999999999999,10.0,10.0,6.89,5.57,4.2,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",5.79,56.33,0.0
2164,-6.095633728940941,-35.30869063204242,8.43,Aprovado,10.0,8.36,6.44,6.0,10.0,7.56,5.57,5.34,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",3.01,24.6,0.32
1912,-5.465815307811498,-35.67320656335301,8.42,Aprovado,9.761904761904763,8.287333333333333,7.4,6.0,10.0,7.38,5.8,3.9,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",11.89,25.69,0.0
2052,-6.18713238236498,-35.488489373535856,8.42,Aprovado,9.2989417989418,7.372000000000001,7.566666666666667,8.0,10.0,7.03,5.57,3.65,21,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",5.41,39.42,0.0
977,-5.516536393836607,-36.89036533907378,8.42,Aprovado,8.981481481481483,9.42,7.753333333333333,6.0,10.0,6.79,5.97,3.37,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",2.52,8.7,0.01
874,-6.511500103078873,-37.02211177587393,8.41,Aprovado,9.007936507936508,6.703333333333333,6.28,10.0,10.0,6.81,6.09,5.58,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",3.98,49.45,0.0
671,-4.930279501229828,-37.208252988349706,8.41,Aprovado,9.37830687830688,9.169333333333334,6.619999999999999,6.0,10.0,7.09,5.99,5.07,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",5.5,12.46,0.0
1883,-5.55637904784049,-35.71777223051652,8.41,Aprovado,9.761904761904763,8.178666666666667,7.653333333333333,6.0,10.0,7.38,5.8,3.52,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.98,27.32,0.0
2056,-6.367714889152194,-35.48727822708983,8.4,Aprovado,9.113756613756614,6.148666666666667,7.173333333333334,10.0,10.0,6.89,5.57,4.24,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",4.78,57.77,0.0
880,-4.9397573007194255,-36.98107101525264,8.4,Aprovado,9.854497354497356,9.671999999999999,6.619999999999999,6.0,3.6636,7.45,6.16,5.07,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 90.52, ""Nenhuma"": 9.48}",11.29,4.92,0.0
1957,-6.097706237872782,-35.6243982559948,8.4,Aprovado,9.2989417989418,7.206666666666667,7.74,8.0,10.0,7.03,5.57,3.39,21,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",5.27,41.9,0.0
914,-6.466118661340202,-36.97709639524557,8.4,Aprovado,9.007936507936508,6.725333333333333,6.153333333333332,10.0,10.0,6.81,5.85,5.77,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.7,49.12,0.0
2027,-6.457687456755417,-35.53212890948249,8.4,Aprovado,9.113756613756614,6.148666666666667,7.199999999999999,10.0,10.0,6.89,5.57,4.2,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",8.67,57.77,0.0
478,-4.9756223923694,-37.433134819107565,8.39,Aprovado,9.37830687830688,8.621333333333332,7.8533333333333335,6.0,10.0,7.09,5.99,3.22,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",3.65,20.68,0.0
2021,-6.187429057683503,-35.533600307660336,8.39,Aprovado,9.2989417989418,7.196666666666667,7.68,8.0,10.0,7.03,5.57,3.48,21,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.91,42.05,0.0
442,-4.898020117683297,-37.4763140915123,8.39,Aprovado,9.37830687830688,8.594,7.866666666666666,6.0,10.0,7.09,5.99,3.2,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",9.12,21.09,0.0
733,-5.879104286837691,-37.15990058903664,8.39,Aprovado,8.902116402116404,7.564,4.420000000000001,10.0,10.0,6.73,6.02,8.37,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",2.13,36.54,1.38
377,-5.925628053994582,-37.61130430829621,8.39,Aprovado,7.843915343915344,8.252666666666666,6.879999999999999,10.0,10.0,5.93,6.02,4.68,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",10.35,26.21,0.0
2057,-6.41286028371323,-35.48696988565475,8.39,Aprovado,9.113756613756614,5.962666666666667,7.586666666666666,10.0,10.0,6.89,5.57,3.62,15,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.55,60.56,0.0
1943,-5.465563594875411,-35.62814658226534,8.39,Aprovado,9.761904761904763,8.049999999999999,7.720000000000001,6.0,10.0,7.38,5.8,3.42,41,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",6.92,29.25,0.0
1265,-5.515332223862318,-36.574625185274485,8.39,Aprovado,8.981481481481483,7.923333333333334,7.206666666666665,8.0,10.0,6.79,5.97,4.19,21,"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}",7.07,31.15,0.0
