id_ponto;latitude_wgs84;longitude_wgs84;vento_bruto_ms;radiacao_solar_bruta;declive_bruto_graus;solo_bruto_codigo;restricao_dados_json;dist_urbana_bruto_km;dist_rede_bruto_km;pct_intersecao_urbana
1289;-6,59990734990999;-36,569777379332145;6,81;5,85;11,77;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";4,51;23,38;0,0
1290;-6,645096924620858;-36,56955616748393;6,81;5,85;16,2;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,09;19,13;0,0
1291;-6,689133428612247;-36,57061124897249;6,81;5,85;11,15;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";8,61;15,33;0,0
1292;-6,736161308445662;-36,56980674825775;6,81;5,85;15,41;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,12;12,34;0,0
1293;-6,7806651083697265;-36,56888326915091;7,01;5,85;13,91;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";12,94;11,14;0,0
1294;-6,824513528712033;-36,569478096833656;7,01;5,85;16,53;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";16,37;11,84;0,0
1295;-6,8699897189677674;-36,581264640272764;7,01;5,85;11,19;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";16,58;13,45;0,0
1296;-6,899173855338692;-36,587393857338526;7,01;5,85;9,26;15;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";14,47;15,44;0,0
1297;-5,077094988998325;-36,52362135955256;7,73;5,97;2,8;33;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 84.3, ""Nenhuma"": 15.7}";5,96;8,64;0,0
1298;-5,108742908584124;-36,530903876729624;7,73;5,97;3,08;23;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 5.78, ""Nenhuma"": 94.22}";6,1;6,25;0,0
1299;-5,153623779652685;-36,53097166921719;7,73;5,97;2,49;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,84;4,61;0,0
1300;-5,198814376302291;-36,530796312774996;7,73;5,97;2,35;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,42;7,27;0,0
1301;-5,2440049024027635;-36,530619404398976;7,73;5,97;3,06;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";10,71;11,6;0,0
1302;-5,289195357346108;-36,53044094354021;7,33;5,97;3,27;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";15,43;16,31;0,0
1303;-5,334385740524463;-36,530260929644854;7,33;5,97;3,73;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";17,78;21,16;0,0
1304;-5,3795760513301145;-36,53007936215417;7,33;5,97;3,6;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";12,83;26,06;0,0
1305;-5,424766289155477;-36,529896240504485;7,33;5,97;3,45;41;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";7,95;31,0;0,0
1306;-5,469956453393111;-36,529711564127204;7,33;5,97;3,37;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";3,44;33,8;0,0
1307;-5,515146543435716;-36,52952533244881;7,33;5,97;4,29;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";2,38;35,18;2,31
1308;-5,560336558676134;-36,52933754489083;7,33;5,97;4,87;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";6,55;30,99;0,0
1309;-5,605526498507349;-36,52914820086988;7,33;5,97;4,31;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,17;26,51;0,0
1310;-5,650716362322496;-36,528957299797604;7,33;5,97;3,17;21;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";4,67;22,25;0,0
1311;-5,695906149514849;-36,52876484108075;7,33;5,97;3,36;15;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";0,0;18,37;3,77
1312;-5,7410958594778325;-36,528570824121054;7,33;5,97;5,52;15;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";4,37;15,15;0,0
1313;-5,786285491605012;-36,528375248315314;7,31;5,97;3,4;15;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,35;13,11;0,0
1314;-5,831475045290119;-36,52817811305541;7,31;5,97;4,57;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";14,34;12,81;0,0
1315;-5,876664519927011;-36,5279794177282;7,31;5,97;13,31;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";14,53;14,36;0,0
1316;-5,92185391490972;-36,5277791617156;7,31;5,97;5,21;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";12,59;15,34;0,0
1317;-5,967043229632421;-36,52757734439455;7,31;5,97;9,53;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";12,49;10,34;0,0
1318;-6,012232463489434;-36,52737396513699;7,31;5,85;20,41;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";9,05;5,35;0,0
1319;-6,057421615875252;-36,52716902330991;7,31;5,85;3,47;4;"{""Prote\u00e7\u00e3o Integral"": 0.0, ""Uso Sustent\u00e1vel"": 0.0, ""Nenhuma"": 100.0}";5,02;0,43;0,0
